timestamp,evento
111030,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
112025,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
112327,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
112329,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
113311,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
114354,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
115278,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
117241,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
118160,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
118657,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
120073,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
120962,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
122778,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
122894,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
124055,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
125922,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
126137,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
127015,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
127192,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
128511,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
128555,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
129424,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
129586,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
130817,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
130928,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
131695,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
133101,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
136329,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
137208,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
137897,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
139398,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
140195,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
140477,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
141042,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
141943,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
142568,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
143775,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
145760,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
145805,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
146676,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
147743,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
150290,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
150842,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
152013,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
152915,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
154587,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
155036,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
156667,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
157106,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
158481,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
159063,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
159549,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
159944,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
160830,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
163396,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
163566,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
164020,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
165386,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
168771,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
169960,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
170590,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
170948,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
171134,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
172356,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
174931,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
175532,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
176401,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
177481,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
177630,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
178059,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
178969,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
180885,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
181321,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
182203,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
183322,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
184517,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
186634,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
187304,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
188205,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
189119,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
190223,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
191007,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
191880,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
194299,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
194776,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
195569,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
196585,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
200729,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
200851,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
201598,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
203052,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
206920,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
207003,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
207290,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
208210,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
211085,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
211802,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
212902,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
214123,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
214837,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
215259,Cambio di stato: da States.TRATTATIVA a States.TRATTATIVA
216592,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
217058,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
217954,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
219540,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
220411,Cambio di stato: da States.TRATTATIVA a States.CARICO_IN_ARRIVO
220477,Cambio di stato: da States.CARICO_IN_ARRIVO a States.TRATTATIVA
